referenceCode,fullCitation,referenceDOI
Biggs1977,"Biggs, Douglas C (2014): Respiration rate of gelatinous zooplankton determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833792",10.1594/PANGAEA.833792
Biggs1977b,"Biggs, D.C. 1977. Respiration and ammonium excretion by open ocean gelatinous zoopankton. Limnology and Oceanography, 22, 108-117.",
Bimstedt1985,"Bamstedt U, Tande KS (1985) Respiration and excretion rates of Calanus glacialis in arctic waters of the Barents Sea. Marine Biology 87:259-266.",
Birge1922,"Birge E., and C. Juday. 1922. The inland lakes of Wisconsin: The plankton. Wisconsin Geological and Natural History Survey ",
Bjornsson2007,"Bjornsson, BjÃ¶rn; Steinarsson, Agnar; Arnason, Tomas (2014): Growth rate of Gadus morhua determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834274",10.1594/PANGAEA.834274
Blazka1966,"Blazka, P. 1966. The ratio of crude protein, glycogen and fat in the individual steps of the production chain . Hydrobiological studies I",
Boas1886,,
Bode2011,"Bode, M., Auel, H. and Ekau, W.: Metabolism and Physiological Adaptations of Pelagic Copepods in the Northern Benguela Current Ecosystem, University of Bremen., 2011.",
Bode2018,"Bode, M., Hagen, W., Cornils, A., Kaiser, P., & Auel, H. (2018). Copepod distribution and biodiversity patterns from the surface to the deep sea along a latitudinal transect in the eastern Atlantic Ocean (24°N to 21°S). Progress in Oceanography, 161, 66-77. ",https://doi.org/10.1016/j.pocean.2018.01.010
Boden1955,"Boden, B.P., Johnson, M.W., Brinton, E., 1955. The euphausiacea (crustacea) of the north Pacific. University of California Press Berkeley and Los Angeles: 287-399.",
Boenigk2002,"Boenigk, Jens; Matz, Carsten; JÃ¼rgens, Klaus; Arndt, Hartmut (2014): Maximum ingestion and maximum clearance rate of Nanoflagellates determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834712",10.1594/PANGAEA.834712
Boltovskoy1999,"Boltovskoy, D., 1999. South Atlantic zooplankton (No. C/592 S6).",
Boltovsky1999,"Boltovskoy, D., 1999. South Atlantic zooplankton (No. C/592 S6).",
Bone1991,"Bone, Q., Braconnot, J.-C. and Ryan, K.P. 1991. On the pharyngeal feeding filter of the salp Pegea confoederata (Tunicata: Thaliacea). Acta Zoologica (Stockholm), 72, 55-60.",
Bone1997a,"Bone, Q., Braconnot, J.-C., Carre, C., 1997. On the filter feeding of Doliolum (Tunicata: Thaliacea). J. Exp. Mar. Biol. Ecol. 214, 179-193.",
Bone1997b,"Bone, Q., 1997. The Biology of Pelagic Tunicates. Oxford University Press, New York; Oxford",
Bonifazi2016,"Bonifazi, A., Ventura, D. and Gravina, M.F., 2016. New records of old species: some pelagic polychaetes along the Italian coast. Italian Journal of Zoology, 83(3), pp.364-371.",10.1080/11250003.2016.1186235
Borchers1986,"Borchers, P., and P. Hutchings. 1986. Starvation tolerance, development time and egg production of Calanoides carinatus in the Southern Benguela Current . Journal of Plankton Research",
Borodkin1991,"Borodkin, S. O. & L. I. Korzhikova, 1991. The chemical composition of the ctenophore Mnemiopsis leidyi and its role in the nutrient transformation in the Black Sea. Okeanologiya 31(5): 754–758.",
BottgerSchnack1989,"Böttger-Schnack, R., & Schnack, D. (1989). Vertical distribution and population structure of Macrosetella gracilis (Copepoda: Harpacticoida) in the Red Sea in relation to the occurrence of Oscillatoria (Trichodesmium) spp. (Cyanobacteria). Marine Ecology Progress Series., 52(1), 17-31. ",
BottgerSchnack1990a,"Böttger-Schnack R. (1990) Community structure and vertical distribution of cyclopoid copepods in the Red Sea. Marine Biology, 106(3), 473-485.",
BottgerSchnack1990b,"Böttger-Schnack R. (1990) Vertical structure of small metazoan plankton, especially noncalanoid copepods. I. Deep Arabian Sea. Journal of Plankton Research, 18(7), 1073-1101.",
BottgerSchnack1996,"Böttger-Schnack R. (1996) Vertical structure of small metazoan plankton, especially non-calanoid copepods. 2. Deep Eastern Mediterranean (Levantine sea). Oceanolica Acta, 20(2), 399-419.",
BottgerSchnack2001,"Böttger-Schnack R., Hagen W. and Schnack-Schiel S. (2001) The microcopepod fauna in the Gulf of Aqaba, northern Red Sea: species diversity and distribution of Oncaeidae (Poecilostomatoida). Journal of Plankton Research, 23(9), 1029-1035.",
BottgerSchnack2005,"Böttger-Schnack, R. and Schnack, D.: Population structure and fecundity of the microcopepod Oncaea bispinosa in the Red Sea; a challenge to general concepts for the scaling of fecundity, Mar. Ecol. Prog. Ser., 302, 159–175, ",10.3354/meps302159
Bottrell1976,"Bottrell, H. H., Duncan, A., Gliwicz, Z. M., Grygierek, E., Herzig, A., Hillbricht-Ilkowska, A., Kurasawa, H., Larsson, P., and T. Weglenska. 1976. A review of some problems in zooplankton production studies. Norwegian Journal of Zoology",
Boucher1984,"Boucher J. (1984) Localization of zooplankton populations in the Ligurian marine front: role of ontogenic migration. Deep Sea Research Part A Oceanographic Research Papers, 31(5), 469-484.",
Bowers1986,"Bowers, J. A. 1986. Phosphorus regeneration by the predatory copepod Diacyclops thomasi. Canadian Journal of Fisheries and Aquatic Sciences",
Bowman1967,"Bowman TE, Kornicker LS. 1967. Two New Crustaceans: The Parasitic Copepod Sphaeronellopsis monothrix (Choniostomatidae) And its Myodocopid Ostracod Host Parasterope pollex (Cylindroleberidae) Form the Southern New England Coast. Proc. United States Natl. Museum. 123(3613):1–29",
BowmanComm,,
Boxshall1977,"Boxshall G. (1977) The depth distributions and community organization of the planktonic cyclopoids (Crustacea: Copepoda) of the Cape Verde Islands region. Journal of the Marine Biological Association of the United Kingdom, 57(02), 543-568.",
Boxshall2004,"Boxshall, G. A. and Halsey, S. H.: An introduction to copepod diversity., Ray Society., 2004.",
Boxshall2015,"Boxshall, G. A.: Siphonostomatoida, World Regist. Mar. Species [online] Available from: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1104 (Accessed 20 April 2016), 2015.",
Boyd1984,"Boyd, Carl M; Heyraud, Mireille; Boyd, Charles N (2014): Maximum ingestion and maximum clearance rate of Euphausia superba determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834713",10.1594/PANGAEA.834713
Boyle2005,"Boyle, P.R.; Rodhouse, P.G. (2005). Cephalopods: ecology and fisheries. Blackwell Science: Oxford. ISBN 0-632-06048-4. XII, 452, ill. pp.",
Brabrand1990,"Brabrand Å, Faafeng BA, Nilssen JPM (1990) Relative importance of phosphorus supply to phytoplankton production - fish excretion versus external loading. Can. J. Fish. Aquat. Sci 47:364-372.",
Braconnot1988,"Braconnot, J.-C., Chloe, S.-M. and Nival, P. 1988. La croissance et le developpement de Salpha fusiformis Cuvier (Tunicata Thaliacea). Annales de l'Institut Oceanographique Paris, 64, 101-114.",
Bradford1971,"Bradford, J.M., 1971. Aetideus and Euaetideus (Copepoda: Calanoida) from the Atlantic and Pacific oceans. N. Z. J. Mar. Freshw. Res. 5, 12-40.",
Bradford1983,"Bradford, J.M., L. Haakonssen & J.B. Jillett. (1983). The marine fauna of New Zealand: pelagic calanoid copepods:families Euchaetidae, Phaennidae, Scolecithricidae, Diaixidae, and Tharybidae. Memoirs of the New Zealand Oceanographic Institute 90:1-150, figs. 1-103.",
